expense_id,amount,merchant,description,category
E701,61.05,Disney+,shows,Entertainment
E107,73.3,Dunkin Donuts,fast food,Food
E925,68.78,Best Buy,clothing purchase,Other
E377,263.91,Gas Company,internet bill,Utilities
E1348,78.19,Auto Parts,vehicle maintenance,Car
E306,75.89,Parking Lot,transportation,Transport
E1050,211.46,Dentist,hospital bill,Other
E249,83.75,Chevron,subway fare,Transport
E672,10.9,Cinema,theater tickets,Entertainment
E2,96.91,Burger King,sandwich,Food
E1471,73.08,School,school fees,Kids
E1408,405.62,Oil Change,auto repair,Car
E1274,751.71,Discover,debt payment,Debt/Loans
E191,15.09,Subway,dinner,Food
E568,1506.85,Bank,housing payment,Rent/Mortgage
E1368,231.66,Mechanic,car wash,Car
E1068,319.69,Pharmacy,doctor visit,Other
E1145,611.01,Education Center,education,School
E1227,1170.56,Southwest,hotel booking,Travel
E974,34.58,Medical Center,medication,Other
E283,82.32,Uber,bus ticket,Transport
E1401,392.49,Service Center,vehicle maintenance,Car
E473,2118.31,Real Estate,monthly rent,Rent/Mortgage
E872,92.67,Nordstrom,accessories,Other
E1396,216.78,Car Dealer,tire replacement,Car
E626,54.28,Xbox,netflix subscription,Entertainment
E62,38.7,Taco Bell,fast food,Food
E637,17.96,Xbox,entertainment subscription,Entertainment
E368,165.68,AT&T,cooling,Utilities
E1239,680.66,Booking.com,flight ticket,Travel
E789,487.54,Geico,medical insurance,Insurance
E1189,958.01,Travel Agency,travel booking,Travel
E837,63.08,Walmart,gadgets,Other
E1285,529.56,Chase,student loan,Debt/Loans
E1134,206.29,Education Center,school supplies,School
E966,113.67,Nike,tech purchase,Other
E749,471.56,Insurance Co,insurance payment,Insurance
E677,21.41,Xbox,concert ticket,Entertainment
E384,265.32,Comcast,energy bill,Utilities
E51,69.87,Pizza Hut,snack,Food
E1490,47.6,Toys R Us,kids activities,Kids
E644,76.41,Concert Hall,music subscription,Entertainment
E1298,277.37,Bank,debt payment,Debt/Loans
E1466,118.64,Daycare,kids necessities,Kids
E381,65.49,Water Dept,heating,Utilities
E1331,259.69,Auto Shop,tire replacement,Car
E287,113.46,Lyft,parking fee,Transport
E1434,144.24,Daycare,school fees,Kids
E401,185.29,Gas Company,energy bill,Utilities
E707,73.82,Cinema,movies,Entertainment
E533,1265.36,Apartment Complex,rent payment,Rent/Mortgage
E1001,73.71,Clinic,medicine,Other
E106,81.03,Taco Bell,takeout,Food
E1019,103.4,Walgreens,pharmacy,Other
E1411,220.3,Service Center,car wash,Car
E1042,320.74,Clinic,medical expense,Other
E799,282.4,Auto Insurance,insurance premium,Insurance
E262,92.35,Parking Lot,taxi fare,Transport
E80,57.05,Food Truck,food shopping,Food
E922,180.87,Department Store,gadgets,Other
E689,49.68,Disney+,streaming service,Entertainment
E1343,370.43,Car Dealer,auto repair,Car
E1279,462.85,Lending Company,mortgage interest,Debt/Loans
E1097,968.58,Library,training,School
E823,81.97,Best Buy,electronics,Other
E185,79.48,Panera Bread,sandwich,Food
E1036,357.92,Walgreens,doctor visit,Other
E1177,171.31,Delta,accommodation,Travel
E909,260.56,Amazon,retail shopping,Other
E782,374.25,Allstate,life insurance,Insurance
E1115,918.54,Coursera,study materials,School
E936,78.2,Amazon,home goods,Other
E79,19.48,KFC,supermarket,Food
E885,66.02,Amazon,home goods,Other
E148,45.87,Chipotle,lunch,Food
E1140,121.57,Udemy,tuition,School
E825,109.16,Online Store,household items,Other
E1307,366.18,Credit Card,car loan,Debt/Loans
E243,33.63,Chevron,uber ride,Transport
E370,282.57,Comcast,utility payment,Utilities
E775,312.17,Insurance Co,health insurance,Insurance
E783,324.41,Insurance Co,insurance premium,Insurance
E197,73.61,Subway,sandwich,Food
E688,68.78,Xbox,gaming,Entertainment
E1297,504.77,Capital One,loan payment,Debt/Loans
E1062,256.32,Clinic,hospital bill,Other
E577,45.3,PlayStation,netflix subscription,Entertainment
E557,1266.34,Mortgage Company,house payment,Rent/Mortgage
E881,75.8,Nordstrom,electronics,Other
E1460,68.3,Daycare,school fees,Kids
E638,70.42,Steam,concert ticket,Entertainment
E813,371.42,State Farm,medical insurance,Insurance
E1511,781.27,IRA,retirement contribution,Saving
E73,84.38,Subway,meat and vegetables,Food
E1091,110.32,Udemy,textbooks,School
E858,87.94,Nike,tech purchase,Other
E1462,80.79,Daycare,kids necessities,Kids
E1537,915.95,Brokerage,savings deposit,Saving
E1481,29.14,Toy Store,children supplies,Kids
E1453,95.23,Daycare,babysitting,Kids
E187,85.34,Panera Bread,meal,Food
E1012,230.57,Dentist,medicine,Other
E417,73.41,City Utilities,internet bill,Utilities
E743,162.95,Health Insurance,life insurance,Insurance
E706,49.55,Amazon Prime,netflix subscription,Entertainment
E963,183.77,Target,shoes,Other
E1083,336.58,University,school supplies,School
E507,1612.84,Bank,apartment rent,Rent/Mortgage
E905,98.89,H&M,tech purchase,Other
E828,276.99,Zara,electronics,Other
E1527,850.39,IRA,retirement contribution,Saving
E65,69.33,Pizza Hut,food shopping,Food
E201,45.33,Uber,parking fee,Transport
E1414,257.54,Oil Change,car service,Car
E1424,129.97,Car Dealer,car service,Car
E1163,426.13,United,airfare,Travel
E767,457.03,Insurance Co,car insurance,Insurance
E479,1678.48,Bank,rental fee,Rent/Mortgage
E1425,65.49,Car Wash,car repair,Car
E215,16.96,Bus Station,gas fill up,Transport
E1406,116.7,Auto Shop,car wash,Car
E1250,1469.91,Airbnb,tourism,Travel
E313,82.29,Exxon,parking fee,Transport
E96,12.57,Chipotle,sandwich,Food
E798,373.04,Insurance Co,home insurance,Insurance
E138,49.72,Starbucks,breakfast,Food
E611,64.96,Theater,shows,Entertainment
E1121,823.3,University,online course,School
E1255,116.93,Credit Card,loan payment,Debt/Loans
E41,48.13,Diner,breakfast,Food
E482,2207.81,Real Estate,house payment,Rent/Mortgage
E759,295.16,Geico,medical insurance,Insurance
E211,147.69,Metro,toll fee,Transport
E394,188.73,Water Dept,gas bill,Utilities
E1459,168.64,Daycare,babysitting,Kids
E146,84.79,Cafe,dinner,Food
E115,71.2,Local Restaurant,dinner,Food
E224,100.52,Taxi,metro card,Transport
E671,20.17,Xbox,movies,Entertainment
E703,11.62,PlayStation,entertainment subscription,Entertainment
E681,67.97,Theater,movie ticket,Entertainment
E1372,153.26,Service Center,auto repair,Car
E1376,325.9,Mechanic,car service,Car
E1155,1387.56,United,trip,Travel
E209,80.75,Train Station,fuel,Transport
E67,33.75,Cafe,groceries shopping,Food
E760,436.73,Geico,life insurance,Insurance
E503,1208.58,Apartment Complex,rent payment,Rent/Mortgage
E182,42.69,Dunkin Donuts,supermarket,Food
E1035,193.74,Pharmacy,medication,Other
E741,446.58,Auto Insurance,car insurance,Insurance
E860,153.39,Nordstrom,home goods,Other
E713,5.14,PlayStation,shows,Entertainment
E1093,625.46,Education Center,online course,School
E459,282.01,Gas Company,energy bill,Utilities
E1276,710.93,Wells Fargo,debt payment,Debt/Loans
E1084,846.53,School,textbooks,School
E16,24.98,Food Truck,meat and vegetables,Food
E1346,349.76,Auto Shop,auto repair,Car
E1463,46.0,Daycare,toys,Kids
E128,44.89,Pizza Hut,pizza,Food
E317,71.41,Exxon,fuel,Transport
E899,102.73,H&M,shoes,Other
E1312,569.81,Discover,mortgage interest,Debt/Loans
E155,19.59,Diner,fast food,Food
E1418,167.73,Tire Shop,oil change,Car
E979,191.31,Doctor Office,medicine,Other
E902,70.17,Department Store,fashion,Other
E1350,239.38,Auto Parts,auto repair,Car
E1147,872.56,Coursera,books,School
E333,135.71,BP,subway fare,Transport
E1543,869.91,Bank,savings transfer,Saving
E515,1913.09,Mortgage Company,monthly rent,Rent/Mortgage
E1164,766.46,Delta,trip,Travel
E499,1426.49,Property Management,rental fee,Rent/Mortgage
E874,52.68,Amazon,shoes,Other
E959,135.59,Nike,fashion,Other
E1248,1007.65,Expedia,trip,Travel
E1529,652.52,Retirement Fund,investment,Saving
E24,38.09,KFC,burger,Food
E1366,279.42,Tire Shop,tire replacement,Car
E461,276.53,Electric Company,cooling,Utilities
E982,130.75,Hospital,medical expense,Other
E226,81.64,Shell,toll fee,Transport
E606,35.77,Xbox,movies,Entertainment
E560,1158.37,Mortgage Company,rental fee,Rent/Mortgage
E376,153.77,Electric Company,heating,Utilities
E850,225.3,Macy's,clothing purchase,Other
E788,339.46,Geico,life insurance,Insurance
E1260,314.25,Capital One,student loan,Debt/Loans
E59,64.39,Diner,groceries shopping,Food
E561,883.97,Apartment Complex,housing payment,Rent/Mortgage
E920,176.55,Best Buy,retail shopping,Other
E1533,962.72,401k,401k contribution,Saving
E540,2187.94,Housing Authority,monthly rent,Rent/Mortgage
E165,56.93,Subway,lunch,Food
E1549,511.22,Bank,401k contribution,Saving
E359,261.52,City Utilities,energy bill,Utilities
E309,28.92,BP,metro card,Transport
E412,141.08,Verizon,monthly utilities,Utilities
E848,35.22,Amazon,clothing purchase,Other
E1357,202.84,Auto Parts,oil change,Car
E1301,794.42,Chase,credit payment,Debt/Loans
E1025,61.44,Dentist,medical appointment,Other
E795,277.84,State Farm,health insurance,Insurance
E161,29.53,Burger King,groceries shopping,Food
E1427,327.48,Mechanic,car wash,Car
E1096,359.21,Online Course,school supplies,School
E569,2258.77,Real Estate,rental fee,Rent/Mortgage
E1538,512.0,Investment,savings transfer,Saving
E311,11.58,Gas Station,subway fare,Transport
E365,80.73,Internet Provider,monthly utilities,Utilities
E25,64.86,Diner,food shopping,Food
E1379,183.45,Tire Shop,car parts,Car
E542,1903.17,Landlord,rental fee,Rent/Mortgage
E1382,200.54,Mechanic,car maintenance,Car
E1185,170.79,United,airfare,Travel
E1516,225.28,Investment,investment fund,Saving
E574,45.84,Xbox,netflix subscription,Entertainment
E239,94.35,Parking Lot,gas fill up,Transport
E1295,794.43,Lending Company,credit card payment,Debt/Loans
E935,102.68,Nike,electronics,Other
E357,260.99,Electric Company,power bill,Utilities
E386,225.38,AT&T,home utilities,Utilities
E212,88.39,BP,fuel,Transport
E786,107.04,Auto Insurance,home insurance,Insurance
E531,1045.97,Apartment Complex,rental fee,Rent/Mortgage
E821,66.68,Best Buy,clothes shopping,Other
E263,146.73,Parking Lot,car ride,Transport
E87,90.15,Burger King,pizza,Food
E13,71.19,McDonald's,fast food,Food
E126,28.23,Diner,snack,Food
E1507,274.03,401k,savings transfer,Saving
E740,206.06,Allstate,life insurance,Insurance
E196,38.57,Dunkin Donuts,lunch,Food
E180,24.48,Diner,takeout,Food
E558,1371.92,Real Estate,monthly rent,Rent/Mortgage
E108,23.72,KFC,dairy products,Food
E1278,772.77,Loan Company,mortgage interest,Debt/Loans
E223,99.39,Chevron,ride share,Transport
E827,182.11,Walmart,accessories,Other
E143,73.56,Panera Bread,grocery store,Food
E69,76.06,KFC,fast food,Food
E946,282.76,Zara,household items,Other
E793,233.66,Progressive,life insurance,Insurance
E1200,1467.66,Airbnb,airfare,Travel
E89,65.51,Taco Bell,fresh produce,Food
E773,262.46,Health Insurance,life insurance,Insurance
E643,42.96,Game Store,music subscription,Entertainment
E694,50.92,HBO Max,movie ticket,Entertainment
E168,89.58,Chipotle,dinner,Food
E1524,941.18,Bank,savings plan,Saving
E420,95.16,Water Dept,heating,Utilities
E553,2001.28,Apartment Complex,rental fee,Rent/Mortgage
E566,1339.14,Property Management,housing payment,Rent/Mortgage
E510,1598.73,Apartment Complex,rental fee,Rent/Mortgage
E406,298.05,Electric Company,phone bill,Utilities
E464,106.19,Water Dept,water bill,Utilities
E962,28.72,Walmart,online shopping,Other
E1244,501.96,Airlines,accommodation,Travel
E1440,184.36,Toys R Us,kids necessities,Kids
E229,71.98,Exxon,ride share,Transport
E931,140.47,Zara,tech purchase,Other
E316,51.83,Uber,metro card,Transport
E1351,391.58,Tire Shop,car parts,Car
E1428,60.19,Auto Parts,car maintenance,Car
E253,46.23,Exxon,uber ride,Transport
E1308,653.11,Chase,mortgage interest,Debt/Loans
E1089,588.47,University,course fee,School
E57,66.64,Burger King,groceries shopping,Food
E1080,826.0,School,course fee,School
E450,107.91,Water Dept,utility payment,Utilities
E1055,160.37,CVS,medicine,Other
E175,17.26,Diner,supermarket,Food
E247,105.66,BP,commute,Transport
E529,1417.06,Property Management,rent payment,Rent/Mortgage
E552,1060.84,Property Management,monthly rent,Rent/Mortgage
E779,150.71,Geico,auto coverage,Insurance
E421,106.35,Phone Company,phone bill,Utilities
E600,77.08,Steam,movies,Entertainment
E331,54.03,BP,parking fee,Transport
E624,70.68,Xbox,theater tickets,Entertainment
E1454,36.26,Toy Store,toys,Kids
E651,36.45,Disney+,streaming service,Entertainment
E725,430.77,Auto Insurance,medical insurance,Insurance
E1432,153.28,Toys R Us,toys,Kids
E45,72.75,Burger King,sandwich,Food
E1467,138.3,Children's Place,kids clothes,Kids
E971,169.99,Pharmacy,prescription,Other
E330,76.76,Lyft,metro card,Transport
E111,7.96,Panera Bread,weekly groceries,Food
E570,1356.12,Mortgage Company,apartment rent,Rent/Mortgage
E422,271.97,AT&T,phone bill,Utilities
E774,163.42,Health Insurance,home insurance,Insurance
E1333,319.3,Service Center,tire replacement,Car
E1101,241.55,University,learning materials,School
E1107,676.55,Education Center,learning materials,School
E1157,520.27,United,flight ticket,Travel
E1081,249.47,Udemy,course fee,School
E1123,287.18,University,tuition,School
E423,66.34,AT&T,utility payment,Utilities
E1256,617.79,Loan Company,personal loan,Debt/Loans
E1326,618.75,Discover,car loan,Debt/Loans
E102,45.48,Local Restaurant,sandwich,Food
E405,204.04,Phone Company,monthly utilities,Utilities
E404,56.99,Water Dept,power bill,Utilities
E612,57.59,Game Store,netflix subscription,Entertainment
E78,31.22,KFC,lunch,Food
E1443,59.68,Children's Place,kids clothes,Kids
E429,237.33,Electric Company,power bill,Utilities
E1144,319.75,University,education,School
E1059,188.21,Doctor Office,medical appointment,Other
E378,246.16,City Utilities,phone bill,Utilities
E1168,428.82,Southwest,vacation,Travel
E630,46.17,Game Store,music subscription,Entertainment
E1046,288.75,Doctor Office,health checkup,Other
E116,54.71,Pizza Hut,weekly groceries,Food
E943,86.8,Online Store,tech purchase,Other
E167,17.21,Starbucks,fresh produce,Food
E275,116.88,Chevron,bus ticket,Transport
E578,32.21,Xbox,gaming,Entertainment
E481,1681.86,Apartment Complex,mortgage payment,Rent/Mortgage
E388,196.54,AT&T,phone bill,Utilities
E1544,455.04,IRA,401k contribution,Saving
E444,103.79,Phone Company,energy bill,Utilities
E260,52.2,Exxon,uber ride,Transport
E806,220.65,Health Insurance,life insurance,Insurance
E327,67.74,Gas Station,transportation,Transport
E656,66.79,Game Store,theater tickets,Entertainment
E1277,488.2,Capital One,mortgage interest,Debt/Loans
E1391,147.13,Auto Parts,car wash,Car
E1377,462.84,Car Wash,car maintenance,Car
E1196,882.79,Hotel.com,flight ticket,Travel
E120,53.75,KFC,pizza,Food
E1417,101.92,Auto Parts,auto repair,Car
E104,77.38,Food Truck,breakfast,Food
E1479,185.04,Children's Place,kids necessities,Kids
E1039,111.96,Hospital,health checkup,Other
E695,76.73,Concert Hall,streaming service,Entertainment
E956,145.01,Nordstrom,shoes,Other
E1494,110.31,School,school fees,Kids
E1247,735.67,Travel Agency,airfare,Travel
E1215,912.11,Booking.com,vacation,Travel
E1367,483.68,Car Wash,car wash,Car
E1238,860.2,Travel Agency,airfare,Travel
E1182,1306.76,Airbnb,travel booking,Travel
E245,124.83,Taxi,uber ride,Transport
E545,1987.8,Mortgage Company,housing payment,Rent/Mortgage
E668,50.29,Spotify,music subscription,Entertainment
E269,93.85,Lyft,ride share,Transport
E978,231.52,Walgreens,pharmacy,Other
E86,10.28,Cafe,meal,Food
E1388,310.07,Mechanic,car wash,Car
E910,110.62,H&M,household items,Other
E567,814.63,Real Estate,apartment rent,Rent/Mortgage
E1009,233.28,Clinic,medical appointment,Other
E40,94.76,Cafe,groceries shopping,Food
E1492,124.33,Babysitter,kids necessities,Kids
E810,460.51,Progressive,home insurance,Insurance
E952,263.0,Walmart,home goods,Other
E1484,32.73,Babysitter,kids activities,Kids
E234,53.0,Lyft,bus ticket,Transport
E189,52.99,Diner,takeout,Food
E1410,97.73,Mechanic,car repair,Car
E1310,438.13,Lending Company,student loan,Debt/Loans
E1483,168.75,Babysitter,kids necessities,Kids
E257,35.36,Train Station,transportation,Transport
E413,229.89,Phone Company,utility payment,Utilities
E502,1245.19,Bank,monthly rent,Rent/Mortgage
E596,21.92,HBO Max,gaming,Entertainment
E1242,1163.54,Southwest,airfare,Travel
E389,191.52,Electric Company,phone bill,Utilities
E1033,375.41,Doctor Office,hospital bill,Other
E800,455.72,Insurance Co,auto coverage,Insurance
E1172,363.03,Airlines,travel booking,Travel
E240,148.7,Metro,commute,Transport
E1311,765.9,Discover,mortgage interest,Debt/Loans
E1146,390.99,Library,school supplies,School
E757,184.17,Allstate,medical insurance,Insurance
E135,79.98,Diner,meat and vegetables,Food
E1127,38.6,Coursera,tuition,School
E556,2156.92,Bank,rental fee,Rent/Mortgage
E976,296.06,CVS,prescription,Other
E1306,742.62,Lending Company,loan payment,Debt/Loans
E1461,26.83,Babysitter,kids clothes,Kids
E133,66.1,McDonald's,breakfast,Food
E854,178.63,Walmart,shoes,Other
E496,1902.27,Property Management,monthly rent,Rent/Mortgage
E112,67.91,Taco Bell,dairy products,Food
E1371,233.83,Service Center,car parts,Car
E447,199.12,Electric Company,heating,Utilities
E210,38.05,Chevron,toll fee,Transport
E680,13.23,Steam,streaming service,Entertainment
E329,107.0,Lyft,subway fare,Transport
E164,44.08,Chipotle,pizza,Food
E980,317.11,Walgreens,medication,Other
E647,24.3,Steam,spotify premium,Entertainment
E5,67.06,KFC,supermarket,Food
E1176,574.62,Hotel.com,accommodation,Travel
E462,69.99,AT&T,monthly utilities,Utilities
E1429,490.29,Auto Shop,car service,Car
E460,128.84,AT&T,water bill,Utilities
E1162,1208.5,Hotel.com,trip,Travel
E1375,113.68,Oil Change,tire replacement,Car
E563,2484.64,Housing Authority,rental fee,Rent/Mortgage
E915,190.02,Zara,accessories,Other
E493,1479.91,Bank,lease payment,Rent/Mortgage
E632,19.37,Amazon Prime,shows,Entertainment
E927,76.71,Amazon,gadgets,Other
E1262,741.37,Bank,mortgage interest,Debt/Loans
E1133,171.47,Udemy,course fee,School
E179,55.23,Local Restaurant,pizza,Food
E691,54.75,HBO Max,streaming service,Entertainment
E591,59.1,PlayStation,video game,Entertainment
E945,296.25,H&M,gadgets,Other
E1514,466.18,Brokerage,investment,Saving
E1252,358.32,Discover,car loan,Debt/Loans
E1099,448.94,Coursera,learning materials,School
E1354,238.65,Tire Shop,oil change,Car
E1225,526.41,Delta,trip,Travel
E928,255.91,Zara,fashion,Other
E162,62.33,KFC,weekly groceries,Food
E77,83.9,McDonald's,pizza,Food
E675,8.7,Cinema,streaming service,Entertainment
E661,59.2,Theater,video game,Entertainment
E81,31.17,Chipotle,groceries shopping,Food
E492,2206.37,Real Estate,lease payment,Rent/Mortgage
E833,196.21,Online Store,gadgets,Other
E480,1198.15,Property Management,housing payment,Rent/Mortgage
E1360,412.33,Tire Shop,vehicle maintenance,Car
E509,2299.02,Housing Authority,rental fee,Rent/Mortgage
E122,98.6,Chipotle,coffee,Food
E761,305.91,Auto Insurance,health insurance,Insurance
E1512,211.03,Savings Account,savings plan,Saving
E954,265.71,Amazon,gadgets,Other
E132,65.45,Subway,lunch,Food
E1118,581.53,Bookstore,training,School
E764,160.38,Progressive,insurance premium,Insurance
E590,78.82,Netflix,concert ticket,Entertainment
E1005,213.87,Medical Center,prescription,Other
E684,12.93,HBO Max,entertainment subscription,Entertainment
E1387,94.01,Car Dealer,auto repair,Car
E1435,159.16,Toys R Us,kids clothes,Kids
E891,197.22,Macy's,accessories,Other
E988,231.84,Medical Center,medical appointment,Other
E983,388.41,CVS,medicine,Other
E818,420.84,Health Insurance,health insurance,Insurance
E846,298.46,Department Store,clothing purchase,Other
E776,418.25,Allstate,health insurance,Insurance
E537,2235.03,Property Management,lease payment,Rent/Mortgage
E1292,660.74,Bank,loan payment,Debt/Loans
E1374,349.8,Tire Shop,car repair,Car
E930,28.84,Macy's,online shopping,Other
E1158,1096.98,Southwest,vacation,Travel
E1398,426.43,Car Wash,auto repair,Car
E737,478.72,Allstate,car insurance,Insurance
E1500,49.04,Babysitter,kids activities,Kids
E1203,1164.56,United,flight ticket,Travel
E1212,103.67,United,trip,Travel
E762,107.1,Health Insurance,life insurance,Insurance
E250,38.32,Chevron,train ticket,Transport
E95,82.48,Diner,pizza,Food
E463,288.03,AT&T,utility payment,Utilities
E1180,261.02,Southwest,travel expenses,Travel
E393,244.04,Water Dept,energy bill,Utilities
E1223,249.36,Booking.com,trip,Travel
E968,118.06,Nordstrom,clothing purchase,Other
E456,201.07,AT&T,gas bill,Utilities
E847,250.92,Nordstrom,clothes shopping,Other
E539,1486.61,Mortgage Company,mortgage payment,Rent/Mortgage
E342,77.21,Parking Lot,fuel,Transport
E908,208.27,Department Store,accessories,Other
E1192,180.46,Airbnb,airfare,Travel
E1173,1131.78,Hotel.com,trip,Travel
E778,210.37,State Farm,auto coverage,Insurance
E546,1064.37,Housing Authority,housing payment,Rent/Mortgage
E816,454.74,Progressive,medical insurance,Insurance
E641,24.62,Steam,gaming,Entertainment
E1472,122.92,Toys R Us,babysitting,Kids
E46,81.36,KFC,dairy products,Food
E1217,738.79,United,vacation,Travel
E1485,186.58,Toy Store,babysitting,Kids
E123,98.25,Cafe,dairy products,Food
E1399,412.84,Car Wash,tire replacement,Car
E1125,253.69,School,education,School
E1423,123.17,Auto Parts,tire replacement,Car
E84,94.0,Food Truck,lunch,Food
E1228,1259.58,Expedia,holiday,Travel
E60,38.89,Pizza Hut,lunch,Food
E390,58.25,Verizon,gas bill,Utilities
E47,91.81,Subway,meat and vegetables,Food
E733,376.7,Progressive,life insurance,Insurance
E894,193.04,Macy's,shoes,Other
E852,50.44,Nordstrom,fashion,Other
E1114,627.28,Coursera,course fee,School
E315,127.58,Gas Station,gas fill up,Transport
E1205,773.37,Expedia,travel booking,Travel
E1224,418.82,Travel Agency,flight ticket,Travel
E369,222.3,Verizon,internet bill,Utilities
E879,43.47,Best Buy,clothes shopping,Other
E1458,192.66,School,daycare,Kids
E232,36.8,Uber,toll fee,Transport
E1405,123.13,Tire Shop,car parts,Car
E882,41.59,Macy's,household items,Other
E907,265.95,Zara,fashion,Other
E613,15.22,Steam,spotify premium,Entertainment
E484,1202.34,Housing Authority,house payment,Rent/Mortgage
E325,105.57,Train Station,gas fill up,Transport
E1509,332.9,Investment,retirement contribution,Saving
E933,260.87,Target,clothes shopping,Other
E655,57.86,Cinema,spotify premium,Entertainment
E1100,225.51,Udemy,education,School
E1234,490.09,Southwest,hotel booking,Travel
E1457,48.67,School,school fees,Kids
E1309,718.75,Credit Card,car loan,Debt/Loans
E667,8.54,Game Store,theater tickets,Entertainment
E1166,1305.94,Booking.com,accommodation,Travel
E834,28.96,Zara,home goods,Other
E391,271.27,Electric Company,energy bill,Utilities
E158,70.46,Cafe,supermarket,Food
E831,191.21,Best Buy,household items,Other
E264,105.34,Metro,metro card,Transport
E884,103.32,Online Store,gadgets,Other
E601,16.56,Game Store,shows,Entertainment
E1108,530.87,Bookstore,tuition,School
